elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
67.1,1940-01-01,1983-02-01,32.43333,"CUBA, AL US",0.9808,COOP:012079,METERS,-88.38333

247.2,1994-12-01,2015-11-01,34.1924,"CULLMAN NAHS, AL US",1,COOP:012096,METERS,-86.7972

198.1,1931-01-01,1983-12-01,32.81667,"DADEVILLE, AL US",0.989,COOP:012119,METERS,-85.75

223.4,1948-01-01,2015-11-01,32.8622,"DADEVILLE 2, AL US",0.4061,COOP:012124,METERS,-85.7358

64,1931-01-01,1965-06-01,33.06667,"DANCY, AL US",0.9783,COOP:012141,METERS,-88.28333

182.9,1949-01-01,1962-03-01,34.41667,"DANVILLE, AL US",1,COOP:012149,METERS,-87.08333

2.4,1975-08-01,2015-11-01,30.2505,"DAUPHIN ISLAND NUMBER 2, AL US",0.9876,COOP:012172,METERS,-88.0775

70.1,1940-01-01,1982-03-01,32.36667,"DAYTON, AL US",0.9902,COOP:012188,METERS,-87.65

177.1,1931-01-01,1969-10-01,34.58333,"DECATUR, AL US",0.9892,COOP:012207,METERS,-86.96667

167.6,1998-12-01,2015-11-01,34.57556,"DECATUR 4 SE, AL US",1,COOP:012209,METERS,-86.93389

174,1949-01-01,1962-03-01,34.61667,"DECATUR 4, AL US",1,COOP:012216,METERS,-86.98333

180.1,1949-01-01,1962-03-01,34.6,"DECATUR SUBSTATION, AL US",1,COOP:012221,METERS,-86.96667

313.9,1956-09-01,1977-06-01,33.43333,"DELTA, AL US",0.9001,COOP:012235,METERS,-85.7

31.1,1931-01-01,1954-08-01,32.51667,"DEMOPOLIS LOCK 4, AL US",0.9719,COOP:012240,METERS,-87.85

30.5,1951-07-01,2015-11-01,32.5193,"DEMOPOLIS LOCK AND DAM, AL US",0.9844,COOP:012245,METERS,-87.88

143.3,2005-10-01,2015-11-01,33.74778,"DORA, AL US",0.7378,COOP:012350,METERS,-87.05861

114,1931-01-01,2015-11-01,31.3167,"DOTHAN REGIONAL AIRPORT, AL US",0.4966,COOP:012372,METERS,-85.45

83.8,1952-04-01,2015-11-01,31.1941,"DOTHAN, AL US",0.954,COOP:012377,METERS,-85.3708

246.9,1957-01-01,1978-09-01,34.15,"DOUBLE SPRINGS, AL US",1,COOP:012386,METERS,-87.41667

59.4,1931-01-01,2010-12-01,31.4238,"ELBA, AL US",0.95,COOP:012577,METERS,-86.0667

235,1959-01-01,1962-03-01,34.88333,"ELKMONT, AL US",1,COOP:012600,METERS,-86.91667

76.8,1940-01-01,2000-07-01,33.25694,"ELROD, AL US",0.9904,COOP:012632,METERS,-87.79722

116.1,1956-02-01,1966-05-01,31.31667,"ENTERPRISE, AL US",0.9681,COOP:012670,METERS,-85.85

102.7,1966-06-01,2015-11-01,31.2975,"ENTERPRISE 2 W, AL US",0.9327,COOP:012675,METERS,-85.8996

61.6,1931-01-01,1966-12-01,31.86667,"EUFAULA, AL US",0.963,COOP:012727,METERS,-85.15

91.4,1967-01-01,2015-11-01,32.0112,"EUFAULA WILDLIFE REF, AL US",0.9745,COOP:012730,METERS,-85.0901

318.5,1998-06-01,2000-02-01,34.315,"EVA, AL US",1,COOP:012737,METERS,-86.72556

33.5,1938-05-01,1958-01-01,32.7744,"WARRIOR LOCK AND DAM, AL US",0.9659,COOP:012742,METERS,-87.8306

88.4,1931-01-01,2015-11-01,31.4449,"EVERGREEN, AL US",0.7714,COOP:012758,METERS,-86.9532

78,1938-10-01,1961-07-01,31.41667,"EVERGREEN INTERMEDIATE FIELD, AL US",0.854,COOP:012763,METERS,-87.03333

7,1931-01-01,2015-11-01,30.5468,"FAIRHOPE 2 NE, AL US",0.9941,COOP:012813,METERS,-87.8807

70.1,1940-01-01,1964-12-01,31.1,"FALCO OPEN POND TOWER, AL US",0.8033,COOP:012832,METERS,-86.55

190.5,1948-01-01,1992-06-01,34.36667,"FALKVILLE, AL US",0.9907,COOP:012840,METERS,-86.88333

198.1,1940-07-01,1965-04-01,34.06667,"FALLS CITY BLK POND, AL US",0.8356,COOP:012848,METERS,-87.33333

174,1949-01-01,1962-03-01,34.56667,"FARLEY, AL US",0.9248,COOP:012867,METERS,-86.56667

108.8,1931-01-01,2010-12-01,33.7091,"FAYETTE, AL US",0.8292,COOP:012883,METERS,-87.8152

427,1948-01-01,1962-03-01,34.76667,"FLAT ROCK, AL US",0.9709,COOP:012945,METERS,-85.68333

176.2,1931-01-01,1977-06-01,34.8,"FLORENCE, AL US",0.6685,COOP:012971,METERS,-87.68333

136.9,1936-02-01,1959-11-01,34.78333,"FLORENCE AT LOCK, AL US",1,COOP:012976,METERS,-87.66667

153,1940-12-01,1970-05-01,31.98333,"FORT DEPOSIT, AL US",0.8595,COOP:013024,METERS,-86.58333

3,1948-01-01,1975-08-01,30.23333,FORT MORGAN,0.9668,COOP:013035,METERS,-88.01667

279.5,1935-08-01,2015-11-01,34.4406,"FORT PAYNE, AL US",0.8734,COOP:013043,METERS,-85.7236

83.8,1931-01-01,2000-11-01,31.38944,"FRISCO CITY 3 SSW, AL US",0.9595,COOP:013105,METERS,-87.42028

174,1931-01-01,1968-03-01,34.01667,"GADSDEN, AL US",0.9687,COOP:013151,METERS,-86

172.2,1953-01-01,2015-11-01,34.0219,"GADSDEN, AL US",0.9457,COOP:013154,METERS,-85.9878

38.1,1937-01-01,2015-11-01,32.8347,"GAINESVILLE LOCK, AL US",0.9874,COOP:013160,METERS,-88.1341

153,1938-01-01,1984-04-01,34.01667,"GARDEN CITY, AL US",0.9498,COOP:013200,METERS,-86.75

198.1,1959-07-01,1962-03-01,34.73333,"GARTH, AL US",0.9994,COOP:013215,METERS,-86.3

44.2,1976-05-01,2015-11-01,31.03833,"GENEVA NUMBER 2, AL US",0.9958,COOP:013251,METERS,-85.87083

32.3,1931-01-01,1976-03-01,31.03861,"GENEVA, AL US",0.9816,COOP:013255,METERS,-85.87

91.4,1956-03-01,2004-07-01,31.67722,"GEORGIANA, AL US",0.938,COOP:013271,METERS,-86.80611

39.9,1957-07-01,1979-03-01,31.88333,"GILBERTOWN, AL US",0.9809,COOP:013308,METERS,-88.33333

307.8,1931-01-01,1954-06-01,33.06667,"GOODWATER, AL US",0.9965,COOP:013399,METERS,-86.05

106.7,1937-01-01,1994-10-01,33.66667,"GORGAS, AL US",0.9654,COOP:013430,METERS,-87.18333

85,1954-07-01,1965-02-01,31.18333,"GREEN BAY, AL US",0.9688,COOP:013496,METERS,-86.28333

67.4,1931-01-01,2015-11-01,32.7019,"GREENSBORO, AL US",0.9676,COOP:013511,METERS,-87.5815

104.2,1931-01-01,2015-11-01,31.7901,"GREENVILLE, AL US",0.9627,COOP:013519,METERS,-86.6087

128,1948-01-01,1966-12-01,31.83333,"GREENVILLE 2, AL US",0.8004,COOP:013524,METERS,-86.63333

3,1948-08-01,1973-12-01,30.28333,"GULF SHORES POST OFFICE, AL US",0.9114,COOP:013559,METERS,-87.68333

176.2,1931-01-01,2015-11-01,34.3344,"GUNTERSVILLE, AL US",0.8852,COOP:013573,METERS,-86.3297

181.4,1995-11-01,2015-11-01,34.3347,"GUNTERSVILLE NUMBER 2, AL US",0.9835,COOP:013575,METERS,-86.3294

182.9,1948-01-01,1981-01-01,34.35,"GUNTERSVILLE, AL US",0.9583,COOP:013578,METERS,-86.3

185.9,1948-01-01,1962-03-01,34.43333,"GUNTERSVILLE DAM, AL US",0.9534,COOP:013583,METERS,-86.4

272.5,2004-06-01,2005-06-01,34.28194,"HACKLEBURG, AL US",1,COOP:013610,METERS,-87.85444

280.4,1936-07-01,2015-11-01,34.2314,"HALEYVILLE, AL US",0.9801,COOP:013620,METERS,-87.6352

167.9,1938-09-01,1961-12-01,34.13333,"HAMILTON, AL US",0.9857,COOP:013644,METERS,-87.98333

132.6,1962-01-01,2015-11-01,34.0966,"HAMILTON 3 S, AL US",0.997,COOP:013645,METERS,-87.9913

179.8,1973-04-01,2015-11-01,34.0678,"HANCEVILLE, AL US",0.9862,COOP:013655,METERS,-86.791

182.9,1940-01-01,1962-06-01,32.8,"HARRISBURG CAHABA TOWER, AL US",0.8853,COOP:013697,METERS,-87.18333

97.5,1995-05-01,1995-10-01,32.26667,"HATCHECHUBBEE, AL US",0.9925,COOP:013722,METERS,-85.28333

52.1,1938-01-01,1981-06-01,32.18333,"HAYNEVILLE, AL US",0.9656,COOP:013748,METERS,-86.58333

112.8,1950-04-01,2015-11-01,31.3625,"HEADLAND, AL US",0.9632,COOP:013761,METERS,-85.3397

259.1,1956-01-01,2015-11-01,33.6483,"HEFLIN, AL US",0.9527,COOP:013775,METERS,-85.6005

146.3,2000-03-01,2015-11-01,33.2725,"HELENA, AL US",0.9947,COOP:013781,METERS,-86.83361

126.8,1931-01-01,1950-12-01,33.28333,"HELENA, AL US",0.9958,COOP:013783,METERS,-86.85

132,1931-01-01,2011-12-01,31.8814,"HIGHLAND HOME, AL US",0.9722,COOP:013816,METERS,-86.2503

169.2,2012-01-01,2015-11-01,31.9477,"HIGHLAND HOME NUMBER 2, AL US",0.8726,COOP:013818,METERS,-86.3131

361.2,1941-08-01,2013-12-01,33.52111,"HIGHTOWER, AL US",0.9252,COOP:013842,METERS,-85.38056

256,1938-01-01,2000-03-01,34.36056,"HODGES, AL US",0.9813,COOP:013899,METERS,-87.92833

59.4,1981-01-01,2015-11-01,33.2533,"HOLT LOCK AND DAM, AL US",0.9643,COOP:013930,METERS,-87.45

185.9,1949-01-01,1962-03-01,34.71667,"HUNTSVILLE SUBSTATION, AL US",1,COOP:014060,METERS,-86.58333

190.2,1958-07-01,2015-11-01,34.64389,"HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD, AL US",0.997,COOP:014064,METERS,-86.78611

185.9,1937-01-01,1954-07-01,34.7,"HUNTSVILLE 4 SSE, AL US",0.9952,COOP:014068,METERS,-86.583333

122.5,1978-03-01,2015-11-01,32.24667,"HURTSBORO, AL US",0.7903,COOP:014080,METERS,-85.41417

305.1,1959-09-01,1962-03-01,34.31667,"HUSTLEVILLE, AL US",1,COOP:014085,METERS,-86.16667

494.1,1948-01-01,1962-03-01,34.81667,"HYTOP, AL US",0.9768,COOP:014099,METERS,-86.11667

467,1956-01-01,1962-03-01,34.71667,"IDER, AL US",0.8931,COOP:014115,METERS,-85.68333

3,1950-02-01,1961-08-01,31.55,"JACKSON LOCK 1, AL US",0.9085,COOP:014192,METERS,-88.01667

67.1,1961-10-01,2015-11-01,31.5253,"JACKSON, AL US",0.8846,COOP:014193,METERS,-87.9277

146,1937-01-01,1960-03-01,33.53333,"JACKSON SHOALS, AL US",0.9679,COOP:014198,METERS,-86.2

185.3,1948-02-01,2015-11-01,33.8256,"JACKSONVILLE, AL US",0.8305,COOP:014209,METERS,-85.7812

113.1,1955-01-01,1960-08-01,33.83333,"JASPER, AL US",0.9116,COOP:014225,METERS,-87.28333

148.1,1960-08-01,2015-11-01,33.9048,"JASPER, AL US",0.9006,COOP:014226,METERS,-87.3154

44.5,1981-01-01,2013-12-01,32.3237,"JONES BLUFF LOCK AND DAM, AL US",0.9672,COOP:014274,METERS,-86.7827

88.4,1937-01-01,1992-12-01,32.6189,"JORDAN DAM, AL US",0.9643,COOP:014306,METERS,-86.2544

82.3,1965-06-01,2006-12-01,31.24028,"KINSTON, AL US",0.9038,COOP:014431,METERS,-86.19472

225.6,1944-11-01,2015-11-01,32.9069,"LAFAYETTE 2 W, AL US",0.9403,COOP:014502,METERS,-85.4336

128,1937-01-01,1992-09-01,32.96333,"LAY DAM, AL US",0.9791,COOP:014603,METERS,-86.52

182.9,1931-01-01,2015-11-01,33.5228,"LEEDS, AL US",0.9647,COOP:014619,METERS,-86.58

180.1,1938-01-01,1981-10-01,34.18333,"LEESBURG, AL US",0.9734,COOP:014627,METERS,-85.76667

155.4,1949-01-01,1950-05-01,33.61667,"LINCOLN, AL US",1,COOP:014734,METERS,-86.11667

39,1937-10-01,2011-12-01,32.5811,"LIVINGSTON, AL US",0.9439,COOP:014798,METERS,-88.1897

88.1,1942-10-01,1964-06-01,31.01667,"LOCKHART, AL US",0.9694,COOP:014822,METERS,-86.36667

3,1932-01-01,1950-02-22,31.55,"JACKSON LOCK 1, AL US",0.9952,COOP:014830,METERS,-88.01667

6.1,1932-01-01,1950-01-01,32.13333,"PENNINGTON LOCK 2, AL US",0.9998,COOP:014835,METERS,-88.03333

9.1,1932-01-01,1950-01-01,32.28333,"WHITFIELD LOCK 3, AL US",0.9998,COOP:014840,METERS,-88.01667

156.1,1931-01-01,1948-12-01,33.63333,"LINCOLN LOCK 4, AL US",0.9999,COOP:014845,METERS,-86.18333

85.3,1938-03-01,1956-12-01,33.4527,"BANKHEAD LOCK AND DAM, AL US",0.9156,COOP:014855,METERS,-87.3572

137.2,1981-10-01,1992-12-01,33.42583,"LOGAN MARTIN DAM, AL US",0.9998,COOP:014866,METERS,-86.33861

146.3,1957-11-01,1990-05-01,31.78333,"LOUISVILLE, AL US",0.9975,COOP:014884,METERS,-85.55

177.1,1931-01-01,1974-12-01,34.7,"MADISON, AL US",0.9659,COOP:014976,METERS,-86.75

198.1,1937-01-01,1977-06-01,33.5,"MAGELLA, AL US",0.9796,COOP:014996,METERS,-86.85

54.9,1948-01-01,1963-10-01,32.13333,"MAGNOLIA, AL US",1,COOP:015004,METERS,-87.65

189,1931-06-01,1939-01-01,34.2,"MAPLE GROVE, AL US",0.1304,COOP:015072,METERS,-85.8

64,1931-01-01,1967-11-30,32.63333,"MARION, AL US",0.9503,COOP:015108,METERS,-87.3

52.4,1967-11-01,2004-12-31,32.70278,"MARION 7 NE, AL US",0.9932,COOP:015112,METERS,-87.26806

61.6,1938-11-01,1969-12-01,32.44444,"MARION JUNCTION, AL US",0.9786,COOP:015116,METERS,-87.17972

61,1950-02-01,2015-11-01,32.4715,"MARION JUNCTION 2 NE, AL US",0.9912,COOP:015121,METERS,-87.2313

125,1931-01-01,1992-09-01,32.7028,"WALNUT HILL 3 W, AL US",0.9865,COOP:015140,METERS,-85.8936

57.9,1956-08-01,2015-11-01,32.2603,"MATHEWS, AL US",0.6714,COOP:015172,METERS,-86.0003

53,1934-05-01,1956-07-01,32.38333,"MAXWELL AFB, AL US",0.9999,COOP:015202,METERS,-86.35

164.9,1951-01-01,1953-12-01,33.36667,"BESSEMER, AL US",0.972,COOP:015233,METERS,-87.01667

106.7,1940-01-01,2015-11-01,31.9305,"MELVIN, AL US",0.6125,COOP:015354,METERS,-88.4587

182.9,1940-01-01,1970-06-01,32.88333,"MERTZ PONDVILLE TOWER, AL US",0.9455,COOP:015382,METERS,-87.33333

151.8,1948-01-01,2015-05-01,32.0596,"MIDWAY, AL US",0.2003,COOP:015397,METERS,-85.4951

24.1,1931-01-01,1967-10-01,32.1,"MILLERS FERRY, AL US",0.948,COOP:015417,METERS,-87.36667

35.1,1981-01-01,2015-11-01,32.1002,"MILLERS FERRY LOCK AND DAM, AL US",0.9667,COOP:015420,METERS,-87.3982

110,1931-01-01,1948-09-01,31.63333,"MILLRY, AL US",0.5915,COOP:015427,METERS,-88.31667

213.4,1931-01-01,1938-12-01,33.03333,"MILLTOWN, AL US",0.75,COOP:015431,METERS,-85.48333

83.8,1981-10-01,2015-10-01,33.575,"MILLPORT 2 E, AL US",0.9584,COOP:015435,METERS,-88.0344

65.5,1931-01-01,2013-12-01,32.4419,"MILSTEAD, AL US",0.9478,COOP:015439,METERS,-85.8889

113.1,1957-01-01,1978-07-01,32.1,"MINTER 3 NW, AL US",1,COOP:015449,METERS,-87.03333

128,1959-02-01,1966-09-01,32.11667,"MINTER 4 NW, AL US",0.0465,COOP:015454,METERS,-87.05

106.7,1937-01-01,1992-12-01,32.80444,"MITCHELL DAM, AL US",0.9688,COOP:015465,METERS,-86.44639

11.9,1966-02-01,1967-02-01,30.68333,"MOBILE ALA ST DOCKS, AL US",0.0586,COOP:015474,METERS,-88.03333

65.5,1948-01-01,2015-11-01,30.68833,"MOBILE REGIONAL AIRPORT, AL US",0.9951,COOP:015478,METERS,-88.24556

3,1948-01-01,1965-12-01,30.68333,"MOBILE, AL US",0.9814,COOP:015483,METERS,-88.03333

488,1948-01-01,1962-03-01,34.75,"MONTE SANO, AL US",0.9943,COOP:015529,METERS,-86.51667

125,1940-11-01,2015-11-01,33.098,"MONTEVALLO, AL US",0.8757,COOP:015537,METERS,-86.8658

249.9,1995-11-01,1998-01-01,33.1525,"MONTEVALLO 5 NW, AL US",0.8876,COOP:015539,METERS,-86.92278

67.1,1996-01-01,2007-07-01,32.3036,"MONTGOMERY NUMBER 2, AL US",0.8059,COOP:015547,METERS,-86.3997

61.6,1948-01-01,2015-11-01,32.2997,"MONTGOMERY AIRPORT, AL US",0.9951,COOP:015550,METERS,-86.4075

68.6,1998-03-01,2015-11-01,32.26,"MONTGOMERY 6 SW, AL US",0.9952,COOP:015553,METERS,-86.218

78,1948-01-01,1954-09-17,32.38333,"MONTGOMERY WEATHER BUREAU OFFICE, AL US",1,COOP:015555,METERS,-86.3

192,1948-01-01,1977-09-01,34.46667,"MOULTON, AL US",1,COOP:015625,METERS,-87.3

